Afghanistan||Asia/Kabul
Albania||Europe/Tirane
Algeria||Africa/Algiers
American Samoa||Pacific/Pago_Pago
Andorra||Europe/Andorra
Angola||Africa/Luanda
Anguilla||America/Anguilla
Antarctica||Antarctica/Casey
Antigua and Barbuda||America/Antigua
Argentina||America/Argentina/Buenos_Aires
Armenia||Asia/Yerevan
Aruba||America/Aruba
Australia|Australian Capital Territory|Australia/Sydney
Australia|New South Wales|Australia/Sydney
Australia|Northern Territory|Australia/Darwin
Australia|Queensland|Australia/Brisbane
Australia|South Australia|Australia/Adelaide
Australia|Tasmania|Australia/Hobart
Australia|Victoria|Australia/Melbourne
Australia|Western Australia|Australia/Perth
Austria||Europe/Vienna
Azerbaijan||Asia/Baku
Bahamas||America/Nassau
Bahrain||Asia/Bahrain
Bangladesh||Asia/Dhaka
Barbados||America/Barbados
Belarus||Europe/Minsk
Belgium||Europe/Brussels
Belize||America/Belize
Benin||Africa/Porto-Novo
Bermuda||Atlantic/Bermuda
Bhutan||Asia/Thimphu
Bolivia||America/La_Paz
Bonaire, Sint Eustatius and Saba||America/Kralendijk
Bosnia and Herzegovina||Europe/Sarajevo
Botswana||Africa/Gaborone
Bouvet Island||Antarctica/Troll
Brazil|Acre|America/Rio_Branco
Brazil|Alagoas|America/Maceio
Brazil|Amapá|America/Belem
Brazil|Amazonas|America/Manaus
Brazil|Bahia|America/Bahia
Brazil|Ceará|America/Fortaleza
Brazil|Distrito Federal|America/Sao_Paulo
Brazil|Espírito Santo|America/Sao_Paulo
Brazil|Goiás|America/Sao_Paulo
Brazil|Maranhão|America/Fortaleza
Brazil|Mato Grosso do Sul|America/Campo_Grande
Brazil|Mato Grosso|America/Cuiaba
Brazil|Minas Gerais|America/Sao_Paulo
Brazil|Paraná|America/Sao_Paulo
Brazil|Paraíba|America/Fortaleza
Brazil|Pará|America/Belem
Brazil|Pernambuco|America/Recife
Brazil|Piauí|America/Fortaleza
Brazil|Rio de Janeiro|America/Sao_Paulo
Brazil|Rio Grande do Norte|America/Fortaleza
Brazil|Rio Grande do Sul|America/Sao_Paulo
Brazil|Rondônia|America/Porto_Velho
Brazil|Roraima|America/Boa_Vista
Brazil|Santa Catarina|America/Sao_Paulo
Brazil|Sergipe|America/Maceio
Brazil|São Paulo|America/Sao_Paulo
Brazil|Tocantins|America/Araguaina
British Indian Ocean Territory||Indian/Chagos
Brunei Darussalam||Asia/Brunei
Bulgaria||Europe/Sofia
Burkina Faso||Africa/Ouagadougou
Burundi||Africa/Bujumbura
Cabo Verde||Atlantic/Cape_Verde
Cambodia||Asia/Phnom_Penh
Cameroon||Africa/Douala
Canada|Alberta|America/Edmonton
Canada|British Columbia|America/Vancouver
Canada|Manitoba|America/Winnipeg
Canada|New Brunswick|America/Moncton
Canada|Newfoundland|America/St_Johns
Canada|Northwest Territories|America/Yellowknife
Canada|Nova Scotia|America/Halifax
Canada|Labrador|America/Halifax
Canada|Nunavut|America/Iqaluit
Canada|Ontario|America/Toronto
Canada|Prince Edward Island|America/Halifax
Canada|Quebec|America/Toronto
Canada|Saskatchewan|America/Regina
Canada|Yukon|America/Whitehorse
Cayman Islands||America/Cayman
Central African Republic||Africa/Bangui
Chad||Africa/Ndjamena
Chile|Aisén del General Carlos Ibañez del Campo|America/Santiago
Chile|Antofagasta|America/Santiago
Chile|Arica y Parinacota|America/Santiago
Chile|Atacama|America/Santiago
Chile|Biobío|America/Santiago
Chile|Coquimbo|America/Santiago
Chile|La Araucanía|America/Santiago
Chile|Libertador General Bernardo O'Higgins|America/Santiago
Chile|Los Lagos|America/Santiago
Chile|Los Ríos|America/Santiago
Chile|Magallanes|America/Santiago
Chile|Maule|America/Santiago
Chile|Región Metropolitana de Santiago|America/Santiago
Chile|Tarapacá|America/Santiago
Chile|Valparaíso|Pacific/Easter
Chile|Ñuble|America/Santiago
China||Asia/Shanghai
Christmas Island||Indian/Christmas
Cocos (Keeling) Islands||Indian/Cocosc
Colombia||America/Bogota
Comoros||Indian/Comoro
Congo||Africa/Brazzaville
Cook Islands||Pacific/Rarotonga
Costa Rica||America/Costa_Rica
Croatia||Europe/Zagreb
Cuba||America/Havana
Curaçao||America/Curacao
Cyprus||Asia/Nicosia
Czechia||Europe/Prague
Côte d'Ivoire||Africa/Abidjan
Democratic Republic of the Congo|Kasaï Oriental|Africa/Kinshasa
Democratic Republic of the Congo|Kinshasa|Africa/Kinshasa
Democratic Republic of the Congo|Kongo Central|Africa/Kinshasa
Democratic Republic of the Congo|Maniema|Africa/Lubumbashi
Democratic Republic of the Congo|Nord-Kivu|Africa/Lubumbashi
Democratic Republic of the Congo|Sud-Kivu|Africa/Lubumbashi
Democratic Republic of the Congo|Équateur|Africa/Kinshasa
Denmark||Europe/Copenhagen
Djibouti||Africa/Djibouti
Dominican Republic||America/Santo_Domingo
Dominica||America/Dominica
Ecuador|Azuay|America/Guayaquil
Ecuador|Bolívar|America/Guayaquil
Ecuador|Carchi|America/Guayaquil
Ecuador|Cañar|America/Guayaquil
Ecuador|Chimborazo|America/Guayaquil
Ecuador|Cotopaxi|America/Guayaquil
Ecuador|El Oro|America/Guayaquil
Ecuador|Esmeraldas|America/Guayaquil
Ecuador|Galápagos|Pacific/Galapagos
Ecuador|Guayas|America/Guayaquil
Ecuador|Imbabura|America/Guayaquil
Ecuador|Loja|America/Guayaquil
Ecuador|Los Ríos|America/Guayaquil
Ecuador|Manabí|America/Guayaquil
Ecuador|Morona-Santiago|America/Guayaquil
Ecuador|Napo|America/Guayaquil
Ecuador|Pastaza|America/Guayaquil
Ecuador|Pichincha|America/Guayaquil
Ecuador|Santa Elena|America/Guayaquil
Ecuador|Santo Domingo de los Tsáchilas|America/Guayaquil
Ecuador|Sucumbíos|America/Guayaquil
Ecuador|Tungurahua|America/Guayaquil
Ecuador|Zamora-Chinchipe|America/Guayaquil
Egypt||Africa/Cairo
El Salvador||America/El_Salvador
Equatorial Guinea||Africa/Malabo
Eritrea||Africa/Asmara
Estonia||Europe/Tallinn
Ethiopia||Africa/Addis_Ababa
Falkland Islands||Atlantic/Stanley
Faroe Islands||Atlantic/Faroe
Fiji||Pacific/Fiji
Finland||Europe/Helsinki
France||Europe/Paris
French Guiana||America/Cayenne
French Polynesia||Pacific/Gambier
French Polynesia||Pacific/Marquesas
French Polynesia||Pacific/Tahiti
French Southern Territories||Indian/Kerguelen
Gabon||Africa/Libreville
Gambia||Africa/Banjul
Georgia||Asia/Tbilisi
Germany||Europe/Berlin
Ghana||Africa/Accra
Gibraltar||Europe/Gibraltar
Greece||Europe/Athens
Greenland||America/Nuuk
Grenada||America/Grenada
Guadeloupe||America/Guadeloupe
Guam||Pacific/Guam
Guatemala||America/Guatemala
Guernsey||Europe/Guernsey
Guinea-Bissau||Africa/Bissau
Guinea||Africa/Conakry
Guyana||America/Guyana
Haiti||America/Port-au-Prince
Heard Island and McDonald Islands||Indian/Kerguelen
Holy See||Europe/Vatican
Honduras||America/Tegucigalpa
Hong Kong||Asia/Hong_Kong
Hungary||Europe/Budapest
Iceland||Atlantic/Reykjavik
India||Asia/Kolkata
Indonesia|Jawa|Asia/Jakarta
Indonesia|Kalimantan|Asia/Makassar
Indonesia|Maluku|Asia/Makassar
